Round,Table,Players,Decks,Winner
Round 2,56,"Noel Robin He/Him
Nikola Drazenovic He/They","Izzet Midrange
Izzet Lessons",Nikola Drazenovic won 2-1-0
Round 2,57,"Gabriel Bernier He/Him
Luca Cherpillod","Dimir Midrange
Sultai Reanimator",Gabriel Bernier won 2-0-0
Round 2,58,"Nam Dang
Brock Read","Izzet Lessons
Mono-Black Demons",Nam Dang won 2-0-0
Round 2,59,"Jules brown He/Him
Peter Shmanka He/Him","Orzhov Control
Dimir Midrange",Peter Shmanka won 2-0-0
Round 2,60,"Tyler Enright He/Him
Cameron Sweetnam","Izzet Blink
4C Elementals",Cameron Sweetnam won 2-1-0
Round 2,61,"Bryan Blouin
Alan Christopher","Dimir Midrange
Mono-Green Landfall",Alan Christopher won 2-0-0
Round 2,62,"MarG
colesmith","Jeskai Control
Jeskai Control",colesmith won 2-1-0
Round 2,63,"Sheldon Sequeira
Farrell Pujokusumo He/Him","Dimir Midrange
Dimir Control",Farrell Pujokusumo won 2-0-0
Round 2,64,"Omar B
Horsey He/Him","Dimir Midrange
Izzet Combo",Omar B won 2-0-0
Round 2,65,"january She/Her
David Booker He/Him","Mono-Green Landfall
Sultai Elementals",january won 2-1-0
Round 2,66,"kranity
Julian David He/Him","Boros Dragons
Izzet Lessons",kranity won 2-1-0
Round 2,67,"Jericho Aguilar
Nicholas Shott","Esper Reanimator
Izzet Prowess",Nicholas Shott won 2-0-0
Round 2,68,"MaxWinkelman
Alex12","Temur Prowess
Golgari",MaxWinkelman won 2-0-0
Round 2,69,"Connor Dyck
Mark Patton He/Him","Rakdos Monument
Dimir Doomsday",Mark Patton won 2-0-0
Round 2,70,"Alex Hatch
Conor Hickey He/Him","Dimir Bounce
Mono-Red Aggro",Conor Hickey won 2-1-0
Round 2,71,"MicC26
Gareth Antle They/Them","Simic Rhythm
W-U-B-R Midrange",MicC26 won 2-1-0
Round 2,72,"angelo_g
Guillighan","Jeskai
Izzet Elementals",Guillighan won 2-1-0
Round 2,73,"Luna Lawrence She/They
WhatTheHeck","Jeskai Control
Sultai Reanimator",Luna Lawrence won 2-1-0
Round 2,74,"Dennis Liu He/Him
Sarah England She/Her","Izzet Lessons
Mono-Red Aggo",Sarah England won 2-0-0
Round 2,75,"Kris Wishinski
Graham Gibb He/Him","Mono-White
Dimir Midrange",Graham Gibb won 2-0-0
Round 2,76,"ryan putigna He/Him
Liam Hoban He/Him","Dimir Midrange
Dimir Control",ryan putigna won 2-0-0
Round 2,77,"Xiao Yu (Roy) Yang He/Him
Anthony Lee He/Him","Dimir Midrange
Temur Prowess",Anthony Lee won 2-0-0
Round 2,78,"Jozef Telecki
Mazianos","Izzet Lessons
Dimir Demons",Mazianos won 2-1-0
Round 2,79,"Zachary Leach He/Him
Thomas Nennich","Gruul
Bant Airbending",Thomas Nennich won 2-0-0
Round 2,80,"Adam Bruni He/Him
ChrI6 He/Him","Izzet Prowess
W-U-B-G Reanimator",Adam Bruni won 2-0-0
Round 2,81,"Tecklin
Shraximus","Temur Combo
Jeskai Control",Tecklin won 2-1-0
Round 2,82,"maxorag
FlameStrata","Mono-Black Midrange
Azorius Tempo",FlameStrata won 2-0-0
Round 2,83,"Zak Turchansky Other
Kody Lyons He/Him","Izzet Prowess
Temur Prowess",Kody Lyons won 2-1-0
Round 2,84,"BorosBen
Les Bakker He/Him","Boros Dragons
Sultai Reanimator",Les Bakker won 2-0-0
Round 2,85,"Omry Gribov He/Him
daceris","Izzet Lessons
Izzet Lessons",Omry Gribov won 2-1-0
Round 2,86,"Caleb Shannon He/Him
Matthew Hyndman He/Him","Bant Airbending
Temur Landfall",Matthew Hyndman won 2-1-0
Round 2,87,"Chris Stevens
James Berglund","Azorius Tempo
Izzet Spellementals",James Berglund won 2-0-0
Round 2,88,"Terabyne
mgraesslin","Izzet Spellementals
Temur Landfall",mgraesslin won 2-0-0
Round 2,89,"george ren
Drew Christensen","Dimir Doomsday
Dimir Demons",george ren won 2-0-0
Round 2,90,"Brady Kiesling
Mark Weedon He/Him","Mono-Green Landfall
Dimir Demons",Mark Weedon won 2-1-0
Round 2,91,"Kendrick Monreal He/Him
Joshua Saruga He/They","Simic Rhythm
Mono-Red Aggro",Joshua Saruga won 2-1-0
Round 2,92,"tannerzinck
Sebastian Clancy He/Him","Boros Aggro
Rakdos Monument",Sebastian Clancy won 2-0-0
